,Southeast,Southeast,Southwest,Southwest,Northeast,Northeast,Northwest,Northwest
1,-9317835.6,5205740.7,-9317829,5205740.5,-9317835.6,5205743.406,-9317829,5205740.5
2,-9317835.6,5205743.406,-9317829,5205743.206,-9317835.6,5205746.112,-9317829,5205743.206
3,-9317834.6,5205746.112,-9317829,5205745.912,-9317835.6,5205748.818,-9317829,5205745.912
4,-9317834.6,5205748.818,-9317829,5205748.618,-9317835.6,5205751.524,-9317829,5205748.618
5,-9317833.6,5205751.524,-9317829,5205751.324,-9317835.6,5205754.229,-9317829,5205751.324
6,-9317833.6,5205754.229,-9317829,5205754.029,-9317835.6,5205756.935,-9317829,5205754.029
7,-9317832.6,5205756.935,-9317829,5205756.735,-9317835.6,5205759.641,-9317829,5205756.735
8,-9317832.6,5205759.641,-9317829,5205759.441,-9317835.6,5205762.347,-9317829,5205759.441
9,-9317831.6,5205762.347,-9317829,5205762.147,-9317835.6,5205765.053,-9317829,5205762.147
10,-9317831.6,5205765.053,-9317829,5205764.853,-9317835.6,5205767.759,-9317829,5205764.853
11,-9317830.6,5205767.759,-9317829,5205767.559,-9317835.6,5205770.465,-9317829,5205767.559
12,-9317830.6,5205770.465,-9317829,5205770.265,-9317835.6,5205773.171,-9317829,5205770.265
13,-9317830.6,5205773.171,-9317829,5205772.971,-9317835.6,5205775.876,-9317829,5205772.971
14,-9317830.6,5205775.876,-9317829,5205775.676,-9317835.6,5205778.582,-9317829,5205775.676
15,-9317830.6,5205778.582,-9317829,5205778.382,-9317835.6,5205781.288,-9317829,5205778.382
16,-9317830.6,5205781.288,-9317829,5205781.088,-9317835.6,5205783.994,-9317829,5205781.088
17,-9317829.6,5205783.994,-9317829,5205783.794,-9317835.6,5205786.7,-9317829,5205783.794
